City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
633,Kudahuvadhoo,2.6708,72.8944,82.13,76,87,7.18,MV,2021-09-19 23:10:35
634,Jalapa,19.5333,-96.9167,67.51,93,98,2.73,MX,2021-09-19 23:06:44
635,Shelabolikha,53.4131,82.6167,42.26,84,98,12.39,RU,2021-09-19 23:10:35
636,Melilla,35.2937,-2.9383,71.98,78,20,4.61,ES,2021-09-19 23:10:36
637,Urumqi,43.801,87.6005,74.35,23,0,13.42,CN,2021-09-19 23:10:07
638,Seydi,39.4816,62.9137,65.89,25,0,12.91,TM,2021-09-19 23:10:36
639,Evans,33.5337,-82.1307,82.6,77,1,3.0,US,2021-09-19 23:08:25
640,Jishou,28.3167,109.7167,70.57,98,65,0.83,CN,2021-09-19 23:10:36
641,Sioux Lookout,50.1001,-91.917,79.09,55,83,14.18,CA,2021-09-19 23:10:37
642,Chontalpa,17.7,-93.5167,83.62,81,83,4.07,MX,2021-09-19 23:10:37
643,Casper,42.8666,-106.3131,74.01,34,75,13.8,US,2021-09-19 23:10:35
644,Halifax,44.6453,-63.5724,60.01,70,0,5.01,CA,2021-09-19 23:07:39
645,Nagaur,27.2,73.7333,83.08,72,99,1.92,IN,2021-09-19 23:10:37
646,Puerto Escondido,15.85,-97.0667,86.83,51,40,6.91,MX,2021-09-19 23:10:38
647,Nieuw Nickerie,5.95,-56.9833,81.0,79,94,11.05,SR,2021-09-19 23:10:38
648,Itoman,26.1247,127.6694,79.57,80,20,3.44,JP,2021-09-19 23:10:38
649,General Roca,-39.0333,-67.5833,61.2,27,61,10.27,AR,2021-09-19 23:10:39
650,Ostersund,63.1792,14.6357,43.25,81,90,10.36,SE,2021-09-19 23:10:39
651,Yibin,28.7667,104.6238,66.56,92,1,2.19,CN,2021-09-19 23:10:39
652,Kanye,-24.9667,25.3327,61.84,39,4,11.95,BW,2021-09-19 23:10:39
653,Buchanan,5.8808,-10.0467,77.07,87,95,5.57,LR,2021-09-19 23:10:40
654,Blind River,46.1834,-82.9582,64.65,64,0,9.98,CA,2021-09-19 23:10:40
655,Rudbar,30.15,62.6,75.94,26,0,9.06,AF,2021-09-19 23:10:40
656,Aripuana,-9.1667,-60.6333,83.41,49,76,1.7,BR,2021-09-19 23:10:41
657,Sao Marcos,-28.9711,-51.0681,66.38,97,82,0.94,BR,2021-09-19 23:10:41
658,Nazareno,25.3833,-103.4167,91.71,21,2,11.65,MX,2021-09-19 23:10:41
659,Sonoita,31.85,-112.8333,97.54,23,0,15.08,MX,2021-09-19 23:10:41
660,High Level,58.5169,-117.136,52.18,65,98,7.02,CA,2021-09-19 23:08:23
661,Kidal,18.4411,1.4078,90.57,16,2,4.5,ML,2021-09-19 23:10:42
662,Mandalgovi,45.7625,106.2708,48.38,94,8,8.63,MN,2021-09-19 23:08:07
663,Kathmandu,27.7167,85.3167,71.82,94,40,2.3,NP,2021-09-19 23:10:42
664,Sheregesh,52.9209,87.9869,39.56,92,100,8.55,RU,2021-09-19 23:10:43
665,Lubao,14.9167,120.55,78.15,86,100,3.09,PH,2021-09-19 23:10:43
666,Mantua,45.1667,10.7833,61.83,84,62,1.99,IT,2021-09-19 23:10:43
667,Qiyang,26.5911,111.8474,73.33,93,96,4.09,CN,2021-09-19 23:10:44
668,Wuwei,37.9281,102.6414,59.68,31,0,7.49,CN,2021-09-19 23:10:44
669,Darasun,51.6667,114.0,37.94,89,100,0.69,RU,2021-09-19 23:10:44
670,Buritis,-15.6178,-46.4233,81.73,24,25,3.24,BR,2021-09-19 23:10:44
671,Olafsvik,64.8945,-23.7142,48.38,90,100,21.65,IS,2021-09-19 23:10:45
672,Brigantine,39.4101,-74.3646,72.5,72,1,4.61,US,2021-09-19 23:07:21
673,Sarakhs,36.5449,61.1577,69.13,26,0,4.61,IR,2021-09-19 23:10:45
